Index,Company,Account Type,Twitter Handle,Year,Original Tweets,Retweets,Reply Tweets,Quote Tweets,Original Tweet Retweets,Original Tweet Likes,Original Tweet Replies,Original Tweet Quotes
9,INTUIT INC,Corporate,@Intuit,2018,275,38,153,21,1454,6778,475,249
10,INTUIT INC,Corporate,@Intuit,2019,383,49,321,12,3175,22852,924,425
11,INTUIT INC,Corporate,@Intuit,2020,616,58,525,13,6206,52487,1316,544
12,INTUIT INC,Corporate,@Intuit,2021,636,129,2575,6,5106,58998,1596,402
13,INTUIT INC,Corporate,@Intuit,2022,246,107,899,10,5346,23766,1453,351
0,CONSTELLATION BRANDS INC CLASS A,Corporate,@cbrands,2017,97,22,0,15,587,3302,151,63
1,CONSTELLATION BRANDS INC CLASS A,Corporate,@cbrands,2018,226,44,0,18,1262,5913,306,207
2,CONSTELLATION BRANDS INC CLASS A,Corporate,@cbrands,2019,206,21,0,5,1370,7574,515,283
3,CONSTELLATION BRANDS INC CLASS A,Corporate,@cbrands,2020,196,10,0,6,1237,7236,710,285
4,CONSTELLATION BRANDS INC CLASS A,Corporate,@cbrands,2021,164,5,27,9,497,4107,685,177
5,CONSTELLATION BRANDS INC CLASS A,Corporate,@cbrands,2022,136,7,22,2,425,5209,545,260
0,PIONEER NATURAL RESOURCE,Corporate,@PXDtweets,2015,16,2,0,0,10,20,2,0
1,PIONEER NATURAL RESOURCE,Corporate,@PXDtweets,2016,67,6,0,0,42,101,1,2
2,PIONEER NATURAL RESOURCE,Corporate,@PXDtweets,2017,21,1,0,0,14,61,0,2
3,PIONEER NATURAL RESOURCE,Corporate,@PXDtweets,2018,11,7,0,0,15,68,1,1
4,PIONEER NATURAL RESOURCE,Corporate,@PXDtweets,2019,9,6,0,1,4,27,4,0
5,PIONEER NATURAL RESOURCE,Corporate,@PXDtweets,2020,18,9,0,3,16,53,3,7
6,PIONEER NATURAL RESOURCE,Corporate,@PXDtweets,2021,39,12,0,5,13,58,4,4
7,PIONEER NATURAL RESOURCE,Corporate,@PXDtweets,2022,43,1,2,2,9,134,16,9
0,DOLLAR GENERAL CORP,Corporate,@DollarGeneral,2009,16,0,0,0,4,2,0,0
1,DOLLAR GENERAL CORP,Corporate,@DollarGeneral,2010,74,1,0,0,53,8,0,0
2,DOLLAR GENERAL CORP,Corporate,@DollarGeneral,2011,387,34,7,0,336,43,70,0
3,DOLLAR GENERAL CORP,Corporate,@DollarGeneral,2012,565,20,42,0,1400,198,127,0
4,DOLLAR GENERAL CORP,Corporate,@DollarGeneral,2013,763,10,10,0,1085,411,612,0
5,DOLLAR GENERAL CORP,Corporate,@DollarGeneral,2014,1003,3,0,0,1791,2197,818,0
6,DOLLAR GENERAL CORP,Corporate,@DollarGeneral,2015,708,1,0,0,2810,5552,604,0
7,DOLLAR GENERAL CORP,Corporate,@DollarGeneral,2016,554,4,353,0,1524,3447,255,70
8,DOLLAR GENERAL CORP,Corporate,@DollarGeneral,2017,521,2,2119,0,723,1815,243,48
9,DOLLAR GENERAL CORP,Corporate,@DollarGeneral,2018,290,11,2057,0,324,1019,308,38
10,DOLLAR GENERAL CORP,Corporate,@DollarGeneral,2019,901,21,3179,39,1062,4656,708,263
11,DOLLAR GENERAL CORP,Corporate,@DollarGeneral,2020,641,1,6548,4,2054,7021,2052,519
12,DOLLAR GENERAL CORP,Corporate,@DollarGeneral,2021,413,6,2183,7,461,2454,753,67
13,DOLLAR GENERAL CORP,Corporate,@DollarGeneral,2022,227,2,1365,2,304,1127,984,51
0,PPL CORP,Corporate,@PPLCorp,2014,29,3,2,0,36,28,2,0
1,PPL CORP,Corporate,@PPLCorp,2015,156,4,6,9,108,124,7,0
2,PPL CORP,Corporate,@PPLCorp,2016,160,13,13,24,160,249,3,7
3,PPL CORP,Corporate,@PPLCorp,2017,125,36,5,25,251,476,14,41
4,PPL CORP,Corporate,@PPLCorp,2018,114,16,4,12,145,450,14,20
5,PPL CORP,Corporate,@PPLCorp,2019,123,87,2,10,183,684,7,18
6,PPL CORP,Corporate,@PPLCorp,2020,203,58,1,8,167,911,30,46
7,PPL CORP,Corporate,@PPLCorp,2021,160,26,1,15,140,484,15,20
8,PPL CORP,Corporate,@PPLCorp,2022,85,34,3,6,119,539,17,15
0,EBAY INC,Corporate,@eBay,2009,51,0,5,0,0,5,1,0
1,EBAY INC,Corporate,@eBay,2010,365,31,342,0,489,158,0,0
2,EBAY INC,Corporate,@eBay,2011,984,118,220,0,13561,676,2920,2
3,EBAY INC,Corporate,@eBay,2012,2861,52,141,1,34417,3811,5875,8
4,EBAY INC,Corporate,@eBay,2013,3330,80,129,1,18613,6585,2666,5
5,EBAY INC,Corporate,@eBay,2014,7198,51,53,0,37010,44976,8582,27
6,EBAY INC,Corporate,@eBay,2015,3801,66,572,0,45117,84600,9580,23
7,EBAY INC,Corporate,@eBay,2016,768,110,3395,16,7027,19547,1727,605
8,EBAY INC,Corporate,@eBay,2017,943,111,7849,19,6943,25668,2732,1681
9,EBAY INC,Corporate,@eBay,2018,533,102,62,29,4353,12146,4204,751
10,EBAY INC,Corporate,@eBay,2019,478,74,60,19,3426,10900,2606,470
11,EBAY INC,Corporate,@eBay,2020,28729,51,681,20,11886,78396,25275,4088
12,EBAY INC,Corporate,@eBay,2021,457,45,565,11,5867,34002,9959,1265
13,EBAY INC,Corporate,@eBay,2022,473,23,2908,26,3821,23191,5046,612
0,SYNCHRONY FINANCIAL,Corporate,@Synchrony,2009,147,0,17,0,0,3,0,0
1,SYNCHRONY FINANCIAL,Corporate,@Synchrony,2010,41,1,22,0,4,0,0,0
2,SYNCHRONY FINANCIAL,Corporate,@Synchrony,2011,76,16,44,0,28,2,12,0
3,SYNCHRONY FINANCIAL,Corporate,@Synchrony,2012,76,12,298,0,13,9,28,0
4,SYNCHRONY FINANCIAL,Corporate,@Synchrony,2013,255,6,190,0,23,12,49,0
5,SYNCHRONY FINANCIAL,Corporate,@Synchrony,2014,77,20,244,0,195,424,40,1
6,SYNCHRONY FINANCIAL,Corporate,@Synchrony,2015,416,69,13,10,999,2335,110,0
7,SYNCHRONY FINANCIAL,Corporate,@Synchrony,2016,503,17,22,10,3504,13868,398,157
8,SYNCHRONY FINANCIAL,Corporate,@Synchrony,2017,356,10,8,14,3168,15790,523,215
9,SYNCHRONY FINANCIAL,Corporate,@Synchrony,2018,337,23,360,14,1531,10505,539,186
10,SYNCHRONY FINANCIAL,Corporate,@Synchrony,2019,251,13,89,7,1244,7034,1084,518
11,SYNCHRONY FINANCIAL,Corporate,@Synchrony,2020,187,3,469,7,1607,11682,1050,231
12,SYNCHRONY FINANCIAL,Corporate,@Synchrony,2021,62,5,243,6,159,851,405,44
13,SYNCHRONY FINANCIAL,Corporate,@Synchrony,2022,68,4,20,4,125,556,210,30
0,PROLOGIS REIT INC,Corporate,@Prologis,2010,216,0,0,0,37,6,0,0
1,PROLOGIS REIT INC,Corporate,@Prologis,2011,202,4,8,0,121,17,1,0
2,PROLOGIS REIT INC,Corporate,@Prologis,2012,56,20,1,0,75,16,4,0
3,PROLOGIS REIT INC,Corporate,@Prologis,2013,290,149,34,0,240,77,27,0
4,PROLOGIS REIT INC,Corporate,@Prologis,2014,493,238,26,0,440,180,30,0
5,PROLOGIS REIT INC,Corporate,@Prologis,2015,498,141,39,0,621,386,27,0
6,PROLOGIS REIT INC,Corporate,@Prologis,2016,677,59,6,25,979,1187,27,48
7,PROLOGIS REIT INC,Corporate,@Prologis,2017,564,22,3,13,1312,2544,25,74
8,PROLOGIS REIT INC,Corporate,@Prologis,2018,365,49,2,19,1104,2882,37,91
9,PROLOGIS REIT INC,Corporate,@Prologis,2019,127,137,0,26,374,1083,20,42
10,PROLOGIS REIT INC,Corporate,@Prologis,2020,360,45,0,51,1066,2875,73,88
11,PROLOGIS REIT INC,Corporate,@Prologis,2021,168,38,4,29,397,1070,23,29
12,PROLOGIS REIT INC,Corporate,@Prologis,2022,168,62,20,16,476,1209,54,43
0,CARDINAL HEALTH INC,Corporate,@cardinalhealth,2011,179,11,98,0,124,10,27,0
1,CARDINAL HEALTH INC,Corporate,@cardinalhealth,2012,241,15,133,0,209,25,25,0
2,CARDINAL HEALTH INC,Corporate,@cardinalhealth,2013,241,13,81,0,227,53,21,0
3,CARDINAL HEALTH INC,Corporate,@cardinalhealth,2014,415,46,384,0,451,307,41,0
4,CARDINAL HEALTH INC,Corporate,@cardinalhealth,2015,365,77,217,6,516,591,34,2
5,CARDINAL HEALTH INC,Corporate,@cardinalhealth,2016,245,42,20,20,1115,1622,36,73
6,CARDINAL HEALTH INC,Corporate,@cardinalhealth,2017,295,62,25,31,644,1126,75,61
7,CARDINAL HEALTH INC,Corporate,@cardinalhealth,2018,615,2,43,74,721,1298,41,66
8,CARDINAL HEALTH INC,Corporate,@cardinalhealth,2019,197,6,145,19,159,611,29,25
9,CARDINAL HEALTH INC,Corporate,@cardinalhealth,2020,96,2,15,12,244,1388,126,79
10,CARDINAL HEALTH INC,Corporate,@cardinalhealth,2021,189,7,3,18,300,1124,50,37
11,CARDINAL HEALTH INC,Corporate,@cardinalhealth,2022,258,47,5,15,233,1032,40,37
0,ARCHER DANIELS MIDLAND,Corporate,@ADMupdates,2011,49,0,0,0,17,1,0,0
1,ARCHER DANIELS MIDLAND,Corporate,@ADMupdates,2012,34,1,0,0,35,2,2,0
2,ARCHER DANIELS MIDLAND,Corporate,@ADMupdates,2013,71,1,0,0,63,15,6,0
3,ARCHER DANIELS MIDLAND,Corporate,@ADMupdates,2014,51,2,0,0,41,38,4,0
4,ARCHER DANIELS MIDLAND,Corporate,@ADMupdates,2015,62,0,0,0,77,75,4,0
5,ARCHER DANIELS MIDLAND,Corporate,@ADMupdates,2016,33,4,0,0,84,75,7,1
6,ARCHER DANIELS MIDLAND,Corporate,@ADMupdates,2017,31,0,0,0,97,76,0,12
7,ARCHER DANIELS MIDLAND,Corporate,@ADMupdates,2018,80,0,0,16,278,617,6,18
8,ARCHER DANIELS MIDLAND,Corporate,@ADMupdates,2019,159,4,3,13,548,1658,27,97
9,ARCHER DANIELS MIDLAND,Corporate,@ADMupdates,2020,180,8,3,15,716,2310,46,204
10,ARCHER DANIELS MIDLAND,Corporate,@ADMupdates,2021,194,11,5,10,481,2016,128,112
11,ARCHER DANIELS MIDLAND,Corporate,@ADMupdates,2022,163,3,15,6,279,1365,445,66
0,CSX CORP,Corporate,@CSX,2009,97,1,0,0,6,8,0,0
1,CSX CORP,Corporate,@CSX,2010,178,3,4,0,143,15,1,0
2,CSX CORP,Corporate,@CSX,2011,160,0,0,0,204,33,19,0
3,CSX CORP,Corporate,@CSX,2012,219,16,5,0,419,68,139,0
4,CSX CORP,Corporate,@CSX,2013,616,40,31,0,1374,503,769,0
5,CSX CORP,Corporate,@CSX,2014,790,143,11,0,3775,5333,886,1
6,CSX CORP,Corporate,@CSX,2015,951,104,2,4,4576,6783,514,2
7,CSX CORP,Corporate,@CSX,2016,734,26,3,2,3107,8786,288,113
8,CSX CORP,Corporate,@CSX,2017,527,19,0,5,2506,9933,387,226
9,CSX CORP,Corporate,@CSX,2018,255,12,25,11,1272,5909,310,131
10,CSX CORP,Corporate,@CSX,2019,266,4,25,15,1325,7835,286,142
11,CSX CORP,Corporate,@CSX,2020,176,2,1,43,909,5756,185,87
12,CSX CORP,Corporate,@CSX,2021,228,1,9,19,1463,7139,502,330
13,CSX CORP,Corporate,@CSX,2022,196,1,19,13,450,2769,323,90
0,DEERE & CO,Corporate,@JohnDeere,2010,135,0,6,0,87,23,0,0
1,DEERE & CO,Corporate,@JohnDeere,2011,443,5,23,0,1026,118,80,1
2,DEERE & CO,Corporate,@JohnDeere,2012,833,4,76,0,2068,374,265,0
3,DEERE & CO,Corporate,@JohnDeere,2013,488,1,95,0,5408,2957,614,2
4,DEERE & CO,Corporate,@JohnDeere,2014,589,1,257,0,9045,10752,695,5
5,DEERE & CO,Corporate,@JohnDeere,2015,880,9,250,1,11154,20531,696,4
6,DEERE & CO,Corporate,@JohnDeere,2016,970,79,543,8,12063,39581,867,685
7,DEERE & CO,Corporate,@JohnDeere,2017,853,149,467,22,12012,51297,883,950
8,DEERE & CO,Corporate,@JohnDeere,2018,693,128,448,62,8547,43847,967,794
9,DEERE & CO,Corporate,@JohnDeere,2019,487,58,994,75,8399,51278,1835,1043
10,DEERE & CO,Corporate,@JohnDeere,2020,238,31,725,22,14610,88010,2526,1984
11,DEERE & CO,Corporate,@JohnDeere,2021,5023,55,710,19,4735,43900,2357,999
12,DEERE & CO,Corporate,@JohnDeere,2022,6235,52,742,12,4381,44235,1402,1138
0,WASTE MANAGEMENT INC,Corporate,@WasteManagement,2010,145,2,3,0,109,4,0,0
1,WASTE MANAGEMENT INC,Corporate,@WasteManagement,2011,996,51,32,0,1027,98,118,0
2,WASTE MANAGEMENT INC,Corporate,@WasteManagement,2012,2864,240,1894,0,1921,307,463,0
3,WASTE MANAGEMENT INC,Corporate,@WasteManagement,2013,1154,285,944,0,1627,552,197,1
4,WASTE MANAGEMENT INC,Corporate,@WasteManagement,2014,1138,780,1230,0,3514,1742,601,0
5,WASTE MANAGEMENT INC,Corporate,@WasteManagement,2015,1223,533,1757,10,4853,4385,348,4
6,WASTE MANAGEMENT INC,Corporate,@WasteManagement,2016,982,386,1212,12,5623,9624,333,356
7,WASTE MANAGEMENT INC,Corporate,@WasteManagement,2017,659,201,2360,15,3876,9589,375,512
8,WASTE MANAGEMENT INC,Corporate,@WasteManagement,2018,421,158,2674,15,5521,15431,816,756
9,WASTE MANAGEMENT INC,Corporate,@WasteManagement,2019,338,44,2233,12,2837,9908,536,452
10,WASTE MANAGEMENT INC,Corporate,@WasteManagement,2020,210,24,2247,28,1484,6719,450,253
11,WASTE MANAGEMENT INC,Corporate,@WasteManagement,2021,176,36,2858,17,836,3866,725,164
12,WASTE MANAGEMENT INC,Corporate,@WasteManagement,2022,121,25,2193,21,508,2362,483,137
0,SYSCO CORP,Corporate,@Sysco,2013,137,84,115,0,381,114,56,0
1,SYSCO CORP,Corporate,@Sysco,2014,361,90,196,0,815,624,95,0
2,SYSCO CORP,Corporate,@Sysco,2015,414,117,184,9,892,1163,61,1
3,SYSCO CORP,Corporate,@Sysco,2016,132,6,14,0,400,772,27,32
4,SYSCO CORP,Corporate,@Sysco,2017,216,8,15,2,1034,2926,59,67
5,SYSCO CORP,Corporate,@Sysco,2018,198,6,162,1,934,2974,60,69
6,SYSCO CORP,Corporate,@Sysco,2019,252,27,118,12,401,2448,103,82
7,SYSCO CORP,Corporate,@Sysco,2020,244,97,326,28,612,3020,289,132
8,SYSCO CORP,Corporate,@Sysco,2021,451,22,138,4,336,2265,226,122
9,SYSCO CORP,Corporate,@Sysco,2022,362,10,45,4,111,1488,108,91
0,EQUINIX REIT INC,Corporate,@Equinix,2010,98,1,1,0,94,5,0,0
1,EQUINIX REIT INC,Corporate,@Equinix,2011,812,11,6,0,708,68,12,0
2,EQUINIX REIT INC,Corporate,@Equinix,2012,1105,13,23,0,1188,94,34,0
3,EQUINIX REIT INC,Corporate,@Equinix,2013,335,34,40,0,629,177,32,0
4,EQUINIX REIT INC,Corporate,@Equinix,2014,886,124,19,0,2097,842,122,0
5,EQUINIX REIT INC,Corporate,@Equinix,2015,1276,88,26,11,2575,1938,112,0
6,EQUINIX REIT INC,Corporate,@Equinix,2016,1261,88,8,9,2595,2043,36,89
7,EQUINIX REIT INC,Corporate,@Equinix,2017,1619,53,14,3,4281,4847,58,219
8,EQUINIX REIT INC,Corporate,@Equinix,2018,2132,74,15,7,3033,6729,104,198
9,EQUINIX REIT INC,Corporate,@Equinix,2019,1521,549,9,0,1699,4454,82,229
10,EQUINIX REIT INC,Corporate,@Equinix,2020,1593,141,20,5,1737,5031,117,222
11,EQUINIX REIT INC,Corporate,@Equinix,2021,1253,17,5,14,1724,7707,121,278
12,EQUINIX REIT INC,Corporate,@Equinix,2022,1137,19,4,3,810,2939,76,180
0,ALLSTATE CORP,Corporate,@Allstate,2009,202,0,162,0,0,34,0,0
1,ALLSTATE CORP,Corporate,@Allstate,2010,745,16,93,0,254,19,0,0
2,ALLSTATE CORP,Corporate,@Allstate,2011,1724,34,1473,0,2700,201,243,0
3,ALLSTATE CORP,Corporate,@Allstate,2012,1325,155,1322,0,2277,567,301,0
4,ALLSTATE CORP,Corporate,@Allstate,2013,1486,149,1852,0,4471,1316,743,0
5,ALLSTATE CORP,Corporate,@Allstate,2014,1635,185,1978,0,5210,3388,530,1
6,ALLSTATE CORP,Corporate,@Allstate,2015,1306,106,1573,8,8206,16390,1785,7
7,ALLSTATE CORP,Corporate,@Allstate,2016,1279,133,633,1,9004,23074,1346,402
8,ALLSTATE CORP,Corporate,@Allstate,2017,748,43,601,1,4251,11864,1609,541
9,ALLSTATE CORP,Corporate,@Allstate,2018,463,40,832,7,1811,2421,1700,182
10,ALLSTATE CORP,Corporate,@Allstate,2019,142,36,2553,3,541,1119,500,103
11,ALLSTATE CORP,Corporate,@Allstate,2020,124,60,5476,26,672,4280,1174,531
12,ALLSTATE CORP,Corporate,@Allstate,2021,146,38,5007,15,631,7666,1605,367
13,ALLSTATE CORP,Corporate,@Allstate,2022,80,47,3760,6,766,12052,1242,322
0,WELLTOWER INC,Corporate,@Welltower,2016,64,52,1,9,168,461,7,22
1,WELLTOWER INC,Corporate,@Welltower,2017,15,11,0,0,21,33,0,11
2,WELLTOWER INC,Corporate,@Welltower,2018,18,0,0,0,56,186,3,17
3,WELLTOWER INC,Corporate,@Welltower,2019,29,2,0,0,54,177,0,7
4,WELLTOWER INC,Corporate,@Welltower,2020,7,0,0,0,11,30,1,1
5,WELLTOWER INC,Corporate,@Welltower,2021,2,0,0,0,0,0,0,0
6,WELLTOWER INC,Corporate,@Welltower,2022,8,0,0,0,1,12,0,1
0,NORFOLK SOUTHERN CORP,Corporate,@nscorp,2010,416,11,86,0,346,18,0,0
1,NORFOLK SOUTHERN CORP,Corporate,@nscorp,2011,443,1,276,0,507,44,91,0
2,NORFOLK SOUTHERN CORP,Corporate,@nscorp,2012,461,150,732,0,902,241,198,0
3,NORFOLK SOUTHERN CORP,Corporate,@nscorp,2013,771,385,598,0,1845,1252,325,0
4,NORFOLK SOUTHERN CORP,Corporate,@nscorp,2014,756,401,405,1,2163,2946,288,1
5,NORFOLK SOUTHERN CORP,Corporate,@nscorp,2015,731,253,75,134,2813,4307,363,2
6,NORFOLK SOUTHERN CORP,Corporate,@nscorp,2016,885,170,33,147,4143,14983,447,182
7,NORFOLK SOUTHERN CORP,Corporate,@nscorp,2017,484,204,10,99,3354,13153,432,348
8,NORFOLK SOUTHERN CORP,Corporate,@nscorp,2018,339,147,17,29,2115,11226,363,165
9,NORFOLK SOUTHERN CORP,Corporate,@nscorp,2019,317,107,36,4,1619,9794,420,162
10,NORFOLK SOUTHERN CORP,Corporate,@nscorp,2020,202,128,21,6,1389,7179,218,87
11,NORFOLK SOUTHERN CORP,Corporate,@nscorp,2021,93,100,17,11,596,2768,122,59
12,NORFOLK SOUTHERN CORP,Corporate,@nscorp,2022,79,34,1,7,387,1490,114,50
0,OREILLY AUTOMOTIVE INC,Corporate,@oreillyauto,2013,592,55,139,0,2227,584,680,0
1,OREILLY AUTOMOTIVE INC,Corporate,@oreillyauto,2014,1801,38,376,0,5662,4411,1753,5
2,OREILLY AUTOMOTIVE INC,Corporate,@oreillyauto,2015,548,70,205,5,3870,5191,661,5
3,OREILLY AUTOMOTIVE INC,Corporate,@oreillyauto,2016,530,73,174,5,1968,5861,481,86
4,OREILLY AUTOMOTIVE INC,Corporate,@oreillyauto,2017,145,60,33,14,599,1991,158,87
5,OREILLY AUTOMOTIVE INC,Corporate,@oreillyauto,2018,129,29,22,23,244,1120,122,37
6,OREILLY AUTOMOTIVE INC,Corporate,@oreillyauto,2019,169,52,23,45,317,2481,100,48
7,OREILLY AUTOMOTIVE INC,Corporate,@oreillyauto,2020,103,32,2,14,150,782,124,34
8,OREILLY AUTOMOTIVE INC,Corporate,@oreillyauto,2021,109,26,6,2,141,1010,172,27
9,OREILLY AUTOMOTIVE INC,Corporate,@oreillyauto,2022,81,9,1,0,170,950,114,27
0,HCA HOLDINGS INC,Corporate,@HCAhealthcare,2009,81,0,3,0,1,1,1,1
1,HCA HOLDINGS INC,Corporate,@HCAhealthcare,2010,66,3,0,0,20,3,0,0
2,HCA HOLDINGS INC,Corporate,@HCAhealthcare,2011,207,20,70,0,91,11,7,0
3,HCA HOLDINGS INC,Corporate,@HCAhealthcare,2012,246,62,63,0,309,28,35,0
4,HCA HOLDINGS INC,Corporate,@HCAhealthcare,2013,107,21,13,0,116,24,18,0
5,HCA HOLDINGS INC,Corporate,@HCAhealthcare,2014,148,20,6,0,233,147,14,0
6,HCA HOLDINGS INC,Corporate,@HCAhealthcare,2015,412,48,8,53,640,928,21,0
7,HCA HOLDINGS INC,Corporate,@HCAhealthcare,2016,656,85,23,86,1221,2472,34,49
8,HCA HOLDINGS INC,Corporate,@HCAhealthcare,2017,165,26,3,28,529,1171,15,56
9,HCA HOLDINGS INC,Corporate,@HCAhealthcare,2018,157,20,6,28,586,1749,36,68
10,HCA HOLDINGS INC,Corporate,@HCAhealthcare,2019,459,96,4,79,1243,4253,91,152
11,HCA HOLDINGS INC,Corporate,@HCAhealthcare,2020,545,146,1,34,2269,8967,279,998
12,HCA HOLDINGS INC,Corporate,@HCAhealthcare,2021,387,109,2,23,848,3166,152,216
13,HCA HOLDINGS INC,Corporate,@HCAhealthcare,2022,224,73,12,14,508,2012,92,60
0,BAXTER INTERNATIONAL INC,Corporate,@baxter_intl,2010,74,0,0,0,46,13,0,0
1,BAXTER INTERNATIONAL INC,Corporate,@baxter_intl,2011,70,0,0,0,55,10,5,0
2,BAXTER INTERNATIONAL INC,Corporate,@baxter_intl,2012,77,0,0,0,102,7,5,0
3,BAXTER INTERNATIONAL INC,Corporate,@baxter_intl,2013,78,0,0,0,171,47,13,0
4,BAXTER INTERNATIONAL INC,Corporate,@baxter_intl,2014,109,0,0,0,263,134,12,0
5,BAXTER INTERNATIONAL INC,Corporate,@baxter_intl,2015,96,1,0,0,225,240,17,0
6,BAXTER INTERNATIONAL INC,Corporate,@baxter_intl,2016,255,46,0,0,567,1054,22,24
7,BAXTER INTERNATIONAL INC,Corporate,@baxter_intl,2017,295,38,1,0,785,1809,27,44
8,BAXTER INTERNATIONAL INC,Corporate,@baxter_intl,2018,273,49,1,0,946,2627,123,60
9,BAXTER INTERNATIONAL INC,Corporate,@baxter_intl,2019,136,29,0,8,357,1443,35,36
10,BAXTER INTERNATIONAL INC,Corporate,@baxter_intl,2020,143,2,1,12,383,1794,43,53
11,BAXTER INTERNATIONAL INC,Corporate,@baxter_intl,2021,136,6,0,7,347,1330,40,33
12,BAXTER INTERNATIONAL INC,Corporate,@baxter_intl,2022,117,5,3,4,141,935,30,20
0,INTUITIVE SURGICAL INC,Corporate,@IntuitiveSurg,2012,4,1,0,0,5,2,0,1
1,INTUITIVE SURGICAL INC,Corporate,@IntuitiveSurg,2013,32,9,3,0,19,5,1,0
2,INTUITIVE SURGICAL INC,Corporate,@IntuitiveSurg,2014,75,12,1,0,118,76,7,0
3,INTUITIVE SURGICAL INC,Corporate,@IntuitiveSurg,2015,65,0,0,0,148,134,4,0
4,INTUITIVE SURGICAL INC,Corporate,@IntuitiveSurg,2016,93,0,2,0,188,308,6,7
5,INTUITIVE SURGICAL INC,Corporate,@IntuitiveSurg,2017,29,0,2,0,132,248,5,15
6,INTUITIVE SURGICAL INC,Corporate,@IntuitiveSurg,2018,75,0,2,0,428,1002,29,50
7,INTUITIVE SURGICAL INC,Corporate,@IntuitiveSurg,2019,189,0,31,0,510,2451,60,75
8,INTUITIVE SURGICAL INC,Corporate,@IntuitiveSurg,2020,72,1,20,2,399,2769,44,51
9,INTUITIVE SURGICAL INC,Corporate,@IntuitiveSurg,2021,187,1,20,2,367,1565,24,62
10,INTUITIVE SURGICAL INC,Corporate,@IntuitiveSurg,2022,146,1,16,1,519,1788,40,50
0,NVIDIA CORP,Corporate,@nvidia,2009,3,0,0,0,1,1,3,0
1,NVIDIA CORP,Corporate,@nvidia,2010,222,92,37,0,630,190,6,5
2,NVIDIA CORP,Corporate,@nvidia,2011,360,44,62,0,2395,462,169,0
3,NVIDIA CORP,Corporate,@nvidia,2012,514,39,76,0,3320,719,473,0
4,NVIDIA CORP,Corporate,@nvidia,2013,566,11,30,0,6573,2381,847,6
5,NVIDIA CORP,Corporate,@nvidia,2014,715,231,763,0,18620,20402,3863,40
6,NVIDIA CORP,Corporate,@nvidia,2015,736,196,1252,2,27201,43731,3620,68
7,NVIDIA CORP,Corporate,@nvidia,2016,957,772,363,75,43200,99359,9118,1357
8,NVIDIA CORP,Corporate,@nvidia,2017,514,571,86,7,23465,57988,4396,2408
9,NVIDIA CORP,Corporate,@nvidia,2018,257,475,2,4,12794,47398,2666,1082
10,NVIDIA CORP,Corporate,@nvidia,2019,135,379,1,2,4549,17369,786,320
11,NVIDIA CORP,Corporate,@nvidia,2020,116,220,6,4,8445,31753,1900,2706
12,NVIDIA CORP,Corporate,@nvidia,2021,277,278,0,2,5679,63000,2548,514
13,NVIDIA CORP,Corporate,@nvidia,2022,224,288,2,0,4408,28992,1782,450
0,STATE STREET CORP,Corporate,@StateStreet,2011,156,87,37,0,57,6,11,1
1,STATE STREET CORP,Corporate,@StateStreet,2012,747,68,38,0,353,56,71,0
2,STATE STREET CORP,Corporate,@StateStreet,2013,1525,36,29,0,1373,659,189,0
3,STATE STREET CORP,Corporate,@StateStreet,2014,1288,48,65,0,3044,3107,283,0
4,STATE STREET CORP,Corporate,@StateStreet,2015,1057,149,10,4,3242,4301,333,0
5,STATE STREET CORP,Corporate,@StateStreet,2016,682,43,7,3,2158,4106,170,61
6,STATE STREET CORP,Corporate,@StateStreet,2017,591,28,3,3,3081,7637,261,315
7,STATE STREET CORP,Corporate,@StateStreet,2018,551,31,0,9,1296,6671,493,135
8,STATE STREET CORP,Corporate,@StateStreet,2019,474,76,11,9,790,2274,79,121
9,STATE STREET CORP,Corporate,@StateStreet,2020,713,121,14,17,859,2920,154,106
10,STATE STREET CORP,Corporate,@StateStreet,2021,920,113,39,12,1225,2380,324,83
11,STATE STREET CORP,Corporate,@StateStreet,2022,628,75,20,13,463,1296,216,88
0,EDISON INTERNATIONAL,Corporate,@edisonintl,2011,4,0,0,0,7,0,0,0
1,EDISON INTERNATIONAL,Corporate,@edisonintl,2012,11,0,0,0,3,0,1,0
2,EDISON INTERNATIONAL,Corporate,@edisonintl,2013,3,0,0,0,1,1,0,0
3,EDISON INTERNATIONAL,Corporate,@edisonintl,2014,429,93,24,0,255,122,19,0
4,EDISON INTERNATIONAL,Corporate,@edisonintl,2015,404,129,77,1,347,224,24,0
5,EDISON INTERNATIONAL,Corporate,@edisonintl,2016,250,60,55,2,258,227,12,17
6,EDISON INTERNATIONAL,Corporate,@edisonintl,2017,136,32,37,8,251,268,15,28
7,EDISON INTERNATIONAL,Corporate,@edisonintl,2018,74,77,3,5,122,199,4,23
8,EDISON INTERNATIONAL,Corporate,@edisonintl,2019,42,95,2,3,75,116,6,8
9,EDISON INTERNATIONAL,Corporate,@edisonintl,2020,11,16,40,2,66,114,7,8
10,EDISON INTERNATIONAL,Corporate,@edisonintl,2021,46,45,1,18,148,309,15,15
11,EDISON INTERNATIONAL,Corporate,@edisonintl,2022,26,25,1,0,21,68,8,5
0,FISERV INC,Corporate,@Fiserv,2009,26,0,0,0,4,1,0,0
1,FISERV INC,Corporate,@Fiserv,2010,155,16,5,0,125,15,0,0
2,FISERV INC,Corporate,@Fiserv,2011,613,87,47,0,407,95,20,0
3,FISERV INC,Corporate,@Fiserv,2012,608,138,57,0,450,100,57,0
