page,rating_overall,employment_status,review_title,review_link,review_date,employee_job,employee_loc,review_pros,review_cons,review_advice_mgmt,flag_incomplete,rating_components.Work/Life Balance,rating_components.Career Opportunities,rating_components.Compensation and Benefits,rating_components.Senior Management,summary_views.Recommend,summary_views.CEO Approval,summary_views.Business Outlook,supposed_n_reviews,Glassdoor Review Page
4,5.0,Current Employee,Sherwin-Williams: Great place to start a career.,/Reviews/Employee-Review-Sherwin-Williams-RVW181425.htm,"Feb 27, 2009",Sales Representative,"Washington, DC","Great training program for entry level sales people. Most promoting comes from within.  It really depends on what district you work in, but I love working in the Washington DC area. Great flow of information from management to employees.  As a sales rep, I have a lot of freedom to run my territory the way I choose as long as my numbers are good. Good base pay with uncapped earning potential.  Even in this tough economy, SW still takes great care of their employees. A lot of the competition are laying off employees, while SW is giving raises and paying dividends.",Districts often compete with each other for business.  Male dominated industry.,I have truly enjoyed working with the management team in my district. They provide guidance and support without breathing down your neck.,0,5,4,4,css-1areqgb,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
4,5.0,Current Employee,A great place to work!,/Reviews/Employee-Review-Sherwin-Williams-RVW181658.htm,"Feb 27, 2009",,"Seattle, WA","Job security, opportunity for advancement, benefits are among the best in the industry.  Time off is relatively easy to get when needed.  SW is generally receptive to new ideas and continually updates its systems and processes.",Very large corporation - so rules and regulations are very general and can be frustrating to work around in certain circumstances.,Don't be afraid to take some finacial risk in helping stores succeed.  Cutbacks are understandable in this current climate - but be aware of customer needs.  Wait in line or go to the competition?  Think about more Sales Reps instead of fewer.  Go after their customers!,0,5,4,css-1areqgb,4,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
4,5.0,Current Employee,"Great Benefits, Great Company",/Reviews/Employee-Review-Sherwin-Williams-RVW182035.htm,"Feb 28, 2009",Store Manager,"Washington, NJ","401k, Benefits, and movement inside the company.  Each and every position is based on merit and how well you perform.  It also has a very extensive training program that keeps all the management/store staff on the same page.  The incentive plan is amazing too.  Once you start hitting your budget the company strongly rewards you.  Its is very nice getting an extra $11,000 per year.  Overall I would recommend getting involved with the Management Training Program(MTP).","Long hours, customer complaints. Sometimes requires alot of patience.  There are some days which I do not get many breaks but thats how the painting business goes.  The bonus money is taxed 40% though which is kinda bad, but that is not this companies fault.",I like the way everything works and I would like to continue moving forward even in this tough ecomony.,0,5,5,5,5,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
5,3.0,Current Employee,Good Place to work,/Reviews/Employee-Review-Sherwin-Williams-RVW183967.htm,"Mar 4, 2009",Sales Associate,"Columbus, OH","Good work environment, products are very solid so most sell themselves.  mostly quality people come into the store, DIY or contractor.  Managers give time off if you give them the heads up.  I like the business.","Retail, open on weekends, company isn't doing well so cutting hours.  Manager isn't as solid as others.  not much opportunity for growth in the near future.  Working with DIY can be very stressful at times.  working with some contractors can be awful because of how some treat you and think they are better than you. training is basically watching training cds and getting onto the sales floor, which is the best way to learn, but is very uncomfortable for the first few weeks.","Learn how to price certain products better.  there is too many overpriced primers, paints that we sell.  They need to do this to market more of the DIY market, which is very low compared to the big box companies.",0,4,3,css-z2gtf,2,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
5,3.0,Current Employee,a good entry level position...but then what...,/Reviews/Employee-Review-Sherwin-Williams-RVW185872.htm,"Mar 8, 2009",Chemist,"Cleveland, OH","good entry level job, and they advertise that.  however, once you get out of the ""entry level"" range i feel there is a disconnect in career advancement, and a disconnect in salary.  i guess that is part of the problem of working with big companies in general.","as mentioned above, career advancement/development is lacking.  Employees are not rewarded for obtaining advanced degrees either  by promotion or pay increase.  lateral moves are the norm","work on helping to advance people careers...don't pigeon hole them into their position.  SW is a massive company and cross-functionalization and diverse backgrounds are a benefit to a company.  Also, reward people for having an advanced degree, even if you don't have one yourself.",0,4,css-z2gtf,css-z2gtf,css-z2gtf,positive,neutral,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
5,5.0,Current Employee,i met him and hes a regular stand out guy,/Reviews/Employee-Review-Sherwin-Williams-RVW185977.htm,"Mar 8, 2009",Assistant Manager,"Portland, OR","benefits, people, hours, product, company","communication weaknesses, great place to work",work through these hard times while maintaining employee moral,0,5,5,5,css-11rm5hs,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
5,4.0,Current Employee,Still going strong with SW,/Reviews/Employee-Review-Sherwin-Williams-RVW187181.htm,"Mar 10, 2009",PC Sales Representative,"Dayton, OH",They have always been loyal to me.,.I may be able to make more somewhere else in sales,Don't micromanage,0,5,4,4,css-1areqgb,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
5,4.0,Former Employee,Give it a try,/Reviews/Employee-Review-Sherwin-Williams-RVW191538.htm,"Mar 18, 2009",,,Good career options for new college graduates.,"It's retail, so your mileage may vary.",None,0,4,3,4,4,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
5,3.0,Current Employee,Great for part-time job but look no further,/Reviews/Employee-Review-Sherwin-Williams-RVW192183.htm,"Mar 18, 2009",Sales Associate,"Chicago, IL","Flexibility for college students or someone who needs a second job.  Pay for part-time is very competitive.  Small store, less employees = great comradery.  Doing deliveries gets you out of the store for awhile.  Your paint knowledge will expand 10 fold while working here.  It is knowledge you can take with you.  Employee discount is great; 40% to 50%. 401K was good until the economy took a dump.","Customers can be demanding.  Self-important Contractors treat you badly and think they are the only people on Earth who paint and need deliveries. Contractors should tip more!  DIY customers can stress out the best of us.  Upper management needs to support subordinate managers much better, especially the ones that actually do their job. Upper management needs to come off their Schaumburg HQ tower and observe the front line more than 1 to 2 times a year. I saw my DM once last year...hmmm...and stop with the favoritism in certain employees who are no more capable than anyone else.","Look more closely at Store Managers.  Many take advantage of their salaried position by leaving early almost everyday. Hold the accountable.  Think about promoting within a little more. Many excellent part-timers are lost due to the fact they are overlooked as possible full timers and/or Assistant Managers.  Wouldn't it be more beneficial to move up an experienced part-time Sales Associate than to hire and train a college graduate who has never dealt with paint in their life?  Come to the stores more often and see the progress of your stores, sometimes its good to get to the front lines once in awhile. Get to know your employees better.  Promote from within, promote from within, promote from within.  Invest some time into forming positive relationships with your subordinates. it seems social skills are not as sharp as the way they look at numbers.",0,css-1areqgb,css-z2gtf,3,2,positive,neutral,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
5,3.0,Current Employee,Sherwin-Williams,/Reviews/Employee-Review-Sherwin-Williams-RVW196836.htm,"Mar 25, 2009",Assistant Manager,"Toronto, ON","money, experience, good opportunity for work","large American, hard times, tough for lower management... long hours",work more with lower management,0,css-qt3l8j,4,css-z2gtf,css-z2gtf,blank,neutral,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
5,3.0,Former Employee,Good Part Time Job,/Reviews/Employee-Review-Sherwin-Williams-RVW202035.htm,"Apr 4, 2009",Inside Sales Associate,"Keene, NH","Very Flexible Schedule, and good work environment.","Payscale, could use better inventory management systems.",Better knowledge of advancement,0,3,3,3,3,blank,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
5,4.0,Current Employee,Great place to work if you don't have to move to Cleveland!,/Reviews/Employee-Review-Sherwin-Williams-RVW220212.htm,"May 7, 2009",Human Resources Manager,"Chicago, IL",The Sherwin Williams company has a great sense of community and family.,"You have to move to Cleveland, OH if you want to get ahead in Sr. Management. Cleveland is not worth it.","If you want to attract and retain talent you need to have better time off benefits. 
Put more investment dollars into divisions other than house paint.  Especially research and development.",0,4,4,css-1areqgb,4,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
5,3.0,Current Employee,"Not bad, Up to the employee to handle the typical corporate stuff.",/Reviews/Employee-Review-Sherwin-Williams-RVW220682.htm,"May 8, 2009",,,Good Pay out of school. Relaxed atmosphere. Direct supervisors/coworkers have been great.,"Training falls on you and immediate supervisors (store management) with mixed results. There are no clear standards, just some vague standards. Up/down communication with District Management is limited because they don't allow criticism. They have either been not deciding to promote me for unknown reasons or stringing me along, we'll never know because they don't allow the necessary communication. Basically, they have a system that they follow it. However, sometimes it's necessary to go outside of their comfort zone/system sometimes to solve problems and get ahead. Otherwise, you have a stagnant situation. I came in with a company merger, which meant I had twice the roadblocks. District Management are people that it's going to be up to you to handle, and you have to find a way. These people want to hear all solutions and no problems all of the time no matter what.","Would actually trying to be creative and solve a problem be completely out of the question. Getting ahead of others on how you handle your business issues are how one beats their competitors. Your competition may not be the greatest, but it is there and you guys better get to work to reach your full potential.",0,4,2,4,2,positive,neutral,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
